scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
iTst_211_1e3,1,5000,500,1000,132,1.0,1.0,0.0,0.0,0.0
iTst_21_1e3,1,5000,500,1000,156,2.0,11.0,-0.6923,-0.1579,-0.1071
iTst_212_1e3,1,5000,500,1000,164,3.0,2.0,0.2,0.0278,0.0204
iTst_213_1e3,1,5000,500,1000,141,0.0,15.0,-1.0,-0.3571,-0.2174
iTst_214_1e3,1,5000,500,1000,156,0.0,0.0,nan,0.0,0.0
iTst_215_1e3,1,5000,500,1000,141,1.0,0.0,1.0,0.0303,0.0217
iTst_216_1e3,1,5000,500,1000,129,0.0,10.0,-1.0,-0.2564,-0.1613
iTst_217_1e3,1,5000,500,1000,125,0.0,0.0,nan,0.0,0.0
iTst_218_1e3,1,5000,500,1000,150,1.0,0.0,1.0,0.027,0.0204
iTst_219_1e3,1,5000,500,1000,137,0.0,5.0,-1.0,-0.1786,-0.0943
iTst_2_1e3,1,5000,500,1000,167,0.0,0.0,nan,0.0,0.0
iTst_220_1e3,1,5000,500,1000,145,0.0,1.0,-1.0,-0.0357,-0.0244
iTst_221_1e3,1,5000,500,1000,130,1.0,0.0,1.0,0.0286,0.0227
iTst_22_1e3,1,5000,500,1000,165,0.0,43.0,-1.0,-0.7049,-0.3909
iTst_222_1e3,1,5000,500,1000,154,0.0,1.0,-1.0,-0.0526,-0.0323
iTst_223_1e3,1,5000,500,1000,130,1.0,16.0,-0.8824,-0.4839,-0.2586
iTst_224_1e3,1,5000,500,1000,139,0.0,1.0,-1.0,-0.0417,-0.0238
iTst_225_1e3,1,5000,500,1000,140,0.0,6.0,-1.0,-0.1538,-0.0968
iTst_226_1e3,1,5000,500,1000,157,1.0,0.0,1.0,0.037,0.0286
iTst_227_1e3,1,5000,500,1000,131,0.0,9.0,-1.0,-0.9,-0.4737
iTst_228_1e3,1,5000,500,1000,130,0.0,13.0,-1.0,-0.52,-0.2826
iTst_229_1e3,1,5000,500,1000,149,0.0,0.0,nan,0.0,0.0
iTst_230_1e3,1,5000,500,1000,157,5.0,1.0,0.6667,0.093,0.0597
iTst_231_1e3,1,5000,500,1000,155,1.0,0.0,1.0,0.025,0.0196
iTst_23_1e3,1,5000,500,1000,147,0.0,9.0,-1.0,-0.3103,-0.1837
iTst_232_1e3,1,5000,500,1000,134,1.0,9.0,-0.8,-0.25,-0.1667
iTst_233_1e3,1,5000,500,1000,160,0.0,9.0,-1.0,-0.3214,-0.18
iTst_234_1e3,1,5000,500,1000,142,0.0,5.0,-1.0,-0.122,-0.0758
iTst_235_1e3,1,5000,500,1000,134,0.0,0.0,nan,0.0,0.0
iTst_236_1e3,1,5000,500,1000,126,1.0,12.0,-0.8462,-0.7333,-0.3235
iTst_237_1e3,1,5000,500,1000,153,1.0,0.0,1.0,0.0385,0.0303
iTst_238_1e3,1,5000,500,1000,131,0.0,15.0,-1.0,-0.6522,-0.3333
iTst_239_1e3,1,5000,500,1000,112,1.0,7.0,-0.75,-0.24,-0.1395
iTst_240_1e3,1,5000,500,1000,144,0.0,10.0,-1.0,-0.4,-0.2273
iTst_241_1e3,1,5000,500,1000,144,0.0,1.0,-1.0,-0.037,-0.0244
iTst_24_1e3,1,5000,500,1000,136,2.0,0.0,1.0,0.0833,0.0556
iTst_242_1e3,1,5000,500,1000,173,0.0,1.0,-1.0,-0.0217,-0.0167
iTst_243_1e3,1,5000,500,1000,169,0.0,15.0,-1.0,-0.4545,-0.2459
iTst_244_1e3,1,5000,500,1000,147,0.0,1.0,-1.0,-0.0333,-0.0217
iTst_245_1e3,1,5000,500,1000,153,1.0,0.0,1.0,0.0222,0.0175
iTst_246_1e3,1,5000,500,1000,159,2.0,0.0,1.0,0.04,0.0333
iTst_247_1e3,1,5000,500,1000,140,3.0,16.0,-0.6842,-0.4194,-0.2453
iTst_248_1e3,1,5000,500,1000,165,0.0,1.0,-1.0,-0.0263,-0.0196
iTst_249_1e3,1,5000,500,1000,140,1.0,1.0,0.0,0.0,0.0
iTst_250_1e3,1,5000,500,1000,168,0.0,0.0,nan,0.0,0.0
iTst_251_1e3,1,5000,500,1000,158,0.0,0.0,nan,0.0,0.0
iTst_25_1e3,1,5000,500,1000,161,0.0,0.0,nan,0.0,0.0
iTst_252_1e3,1,5000,500,1000,144,1.0,0.0,1.0,0.0278,0.0179
iTst_253_1e3,1,5000,500,1000,134,0.0,22.0,-1.0,-0.88,-0.4151
iTst_254_1e3,1,5000,500,1000,129,0.0,1.0,-1.0,-0.0294,-0.0244
iTst_255_1e3,1,5000,500,1000,172,1.0,0.0,1.0,0.0238,0.0192
iTst_256_1e3,1,5000,500,1000,134,0.0,0.0,nan,0.0,0.0
iTst_257_1e3,1,5000,500,1000,136,4.0,0.0,1.0,0.1176,0.0625
iTst_258_1e3,1,5000,500,1000,163,0.0,12.0,-1.0,-0.3429,-0.24
iTst_259_1e3,1,5000,500,1000,152,0.0,1.0,-1.0,-0.0244,-0.0208
iTst_260_1e3,1,5000,500,1000,148,7.0,0.0,1.0,0.1458,0.0933
iTst_261_1e3,1,5000,500,1000,173,0.0,18.0,-1.0,-0.3462,-0.2195
iTst_26_1e3,1,5000,500,1000,157,0.0,0.0,nan,0.0,0.0
iTst_262_1e3,1,5000,500,1000,188,1.0,7.0,-0.75,-0.1277,-0.0741
iTst_263_1e3,1,5000,500,1000,122,0.0,10.0,-1.0,-0.3448,-0.2222
iTst_264_1e3,1,5000,500,1000,153,0.0,0.0,nan,0.0,0.0
iTst_265_1e3,1,5000,500,1000,146,0.0,13.0,-1.0,-0.4333,-0.2281
iTst_266_1e3,1,5000,500,1000,143,0.0,1.0,-1.0,-0.037,-0.0303
iTst_267_1e3,1,5000,500,1000,151,1.0,2.0,-0.3333,-0.0435,-0.0313
iTst_268_1e3,1,5000,500,1000,132,0.0,0.0,nan,0.0,0.0
iTst_269_1e3,1,5000,500,1000,133,0.0,0.0,nan,0.0,0.0
iTst_270_1e3,1,5000,500,1000,142,0.0,7.0,-1.0,-0.2692,-0.175
iTst_271_1e3,1,5000,500,1000,171,1.0,1.0,0.0,0.0,0.0
iTst_27_1e3,1,5000,500,1000,155,1.0,0.0,1.0,0.0286,0.0227
iTst_272_1e3,1,5000,500,1000,177,0.0,24.0,-1.0,-0.8,-0.375
iTst_273_1e3,1,5000,500,1000,158,0.0,0.0,nan,0.0,0.0
iTst_274_1e3,1,5000,500,1000,131,0.0,9.0,-1.0,-0.2727,-0.2
iTst_275_1e3,1,5000,500,1000,136,1.0,4.0,-0.6,-0.0811,-0.05
iTst_276_1e3,1,5000,500,1000,162,2.0,16.0,-0.7778,-0.4516,-0.2642
iTst_277_1e3,1,5000,500,1000,154,0.0,1.0,-1.0,-0.025,-0.0172
iTst_278_1e3,1,5000,500,1000,135,2.0,0.0,1.0,0.05,0.0385
iTst_279_1e3,1,5000,500,1000,158,0.0,2.0,-1.0,-0.0645,-0.0435
iTst_280_1e3,1,5000,500,1000,185,1.0,17.0,-0.8889,-0.5714,-0.3265
iTst_281_1e3,1,5000,500,1000,127,0.0,1.0,-1.0,-0.0385,-0.0313
iTst_28_1e3,1,5000,500,1000,134,0.0,8.0,-1.0,-0.4,-0.2162
iTst_282_1e3,1,5000,500,1000,168,1.0,0.0,1.0,0.0313,0.0244
iTst_283_1e3,1,5000,500,1000,150,0.0,20.0,-1.0,-0.6452,-0.3509
iTst_284_1e3,1,5000,500,1000,134,1.0,12.0,-0.8462,-0.6111,-0.2683
